Action,1,25,18,7,1,2,6,2,2,2,3,5,1,6,4,8,20,31,44,40,44,67,125,144,125,192,184,211,221,272,226,239,265,148,186,255,118,1
Adventure,0,0,0,1,0,0,0,1,0,0,0,2,4,1,4,13,17,14,23,19,16,21,42,12,38,42,71,84,166,141,154,108,58,60,75,54,33,0
Fighting,1,0,0,0,0,1,0,2,0,0,0,1,7,11,22,29,30,28,41,24,29,18,54,44,39,43,55,50,57,53,40,50,29,20,23,21,14,0
Misc,4,0,1,1,1,0,0,0,0,1,0,1,2,3,6,22,23,12,22,25,20,26,45,53,67,110,109,150,212,207,201,184,38,42,41,39,18,0
Platform,0,3,5,5,1,4,6,2,4,3,3,6,6,11,11,13,14,18,25,18,24,43,77,87,66,83,54,42,62,29,31,37,11,37,10,14,10,0
Puzzle,0,2,3,1,3,4,0,0,1,5,2,4,5,3,3,12,9,14,13,6,12,15,20,8,25,33,43,66,64,79,45,43,11,3,7,6,0,0
Racing,0,1,2,0,3,0,1,0,1,0,2,1,2,2,8,12,22,36,49,49,43,71,103,109,71,77,75,86,82,84,57,64,30,16,27,19,20,0
Role-Playing,0,0,0,0,0,0,1,3,3,2,2,5,5,9,17,24,28,23,26,33,29,41,55,48,60,71,110,103,112,103,103,95,78,71,90,78,40,2
Shooter,2,10,5,1,3,1,4,2,1,1,0,3,3,2,11,29,23,27,23,16,20,36,79,73,88,96,69,85,83,91,81,94,48,59,47,34,32,0
Simulation,0,1,0,0,0,1,0,0,1,0,1,2,1,1,7,14,13,19,8,20,15,28,19,35,27,38,58,90,119,123,80,55,18,18,11,15,9,0
Sports,1,4,2,1,2,1,3,4,2,3,3,7,4,9,22,29,52,46,70,62,81,96,188,125,106,122,138,167,200,184,186,122,54,53,55,62,38,0
Strategy,0,0,0,0,0,0,0,0,0,0,0,4,3,2,6,14,12,21,35,26,16,20,22,37,32,29,42,67,50,65,53,45,15,19,8,17,10,0
